ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002364.SZ,中恒电气,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002376.SZ,新北洋,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002378.SZ,章源钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002383.SZ,合众思壮,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002384.SZ,东山精密,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002387.SZ,维信诺,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002389.SZ,航天彩虹,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002396.SZ,星网锐捷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002409.SZ,雅克科技,801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料
002415.SZ,海康威视,801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备
002428.SZ,云南锗业,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002436.SZ,兴森科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002446.SZ,盛路通信,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002449.SZ,国星光电,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002456.SZ,欧菲光,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002459.SZ,晶澳科技,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002460.SZ,赣锋锂业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002463.SZ,沪电股份,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002466.SZ,天齐锂业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002491.SZ,通鼎互联,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
002506.SZ,协鑫集成,801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件
002518.SZ,科士达,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002531.SZ,天顺风能,801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件
002577.SZ,雷柏科技,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002579.SZ,中京电子,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002580.SZ,圣阳股份,801730.SI,电力设备,801737.SI,电池,857375.SI,蓄电池及其他电池
002583.SZ,海能达,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002587.SZ,奥拓电子,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002594.SZ,比亚迪,801880.SI,汽车,801095.SI,乘用车,850951.SI,电动乘用车
002625.SZ,光启技术,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002654.SZ,万润科技,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002745.SZ,木林森,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002756.SZ,永兴材料,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002759.SZ,天际股份,801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品
002792.SZ,通宇通讯,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002796.SZ,世嘉科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002815.SZ,崇达技术,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
